;0,55;0,6;0,65;0,7;0,75;0,8;0,85;0,9;0,95;1
levenshtein_similarity;0,00051;0,00071;0,00051;0,00051;0,00051;0,00051;0,00051;0,00051;0,00051;0,00051
jaro;0,00012;0,00012;0,00012;0,00012;0,00013;0,00018;0,00014;0,00012;0,00012;0,00012
NGrams_similarity;0;0;0;0;0;0;0;0;0;0
jaccard_similarity;0;0;0;0;0;0;0;0;0;0
monge_elkan_symmetric;0,00012;0,00012;0,00012;0,00012;0,00012;0,00012;0,00013;0,00016;0,00012;0,00012
